City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
Scituate,17879,0,1.1,0.6,8.9,25.7,78.3,5.6,1.1
Rockland,17789,0,1.7,1.7,7.3,24.7,135.5,9.6,
North Attleboro,27994,0,0.7,2.5,7.5,33.6,185.4,7.9,0.7
Plainville,8388,0,0,1.2,9.5,28.6,103.7,8.3,2.4
Berkley,6519,0,0,1.5,9.2,59.8,50.6,4.6,0
Dracut,29608,0,0.7,3.7,6.4,15.2,79.4,0,0.3
Walpole,23113,0,1.3,2.6,6.9,25.5,123.3,5.2,1.3
Tyngsboro,11955,0,2.5,3.3,5,41,105.4,16.7,0.8
Newburyport,17133,0,0.6,0.6,9.9,18.1,117.9,9.3,0
Becket,1803,0,0,0,11.1,144.2,133.1,0,
Orleans,6309,0,1.6,0,9.5,71.3,233,6.3,3.2
Granby,6303,0,1.6,0,9.5,19,131.7,11.1,0
Melrose,26737,0,0.4,3.4,7.5,28.1,87.9,9.7,0.7
Southwick,9507,0,0,0,11.6,44.2,79.9,14.7,0
Charlton,12740,0,0.8,1.6,9.4,31.4,58.1,13.3,1.6
Granville,1695,0,0,0,11.8,53.1,94.4,0,
Sutton,9107,0,1.1,0,11,28.5,51.6,9.9,0
Williamsburg,2442,0,4.1,0,8.2,139.2,57.3,0,0
Norwood,28119,0.4,1.4,3.9,6.8,33.1,163.6,14.6,1.1
Ashland,15927,0,1.9,0.6,10,35.2,61.5,5.7,0
Lancaster,7130,0,1.4,1.4,9.8,11.2,49.1,9.8,1.4
Maynard,10144,0,0,1,11.8,2,12.8,1,0
Sandwich,20258,0,0.5,1.5,10.9,44.4,124.9,3.9,2
Hopedale,6195,1.6,1.6,0,9.7,24.2,45.2,6.5,1.6
Braintree,34495,0,1.4,1.7,9.9,22,233.7,8.7,0.3
Rockport,7615,0,5.3,0,7.9,7.9,19.7,2.6,1.3
Chelmsford,34187,0,0.6,2.3,10.2,19.9,162.9,7.6,0.3
Arlington,40989,0,0.7,3.4,9.3,45.1,107.6,8.5,3.9
Bernardston,2234,0,0,0,13.4,31.3,62.7,13.4,0
Belchertown,14094,0,0.7,0,12.8,25.5,78.8,12.1,1.4
Mendon,5823,0,1.7,0,12,20.6,49.8,3.4,1.7
Lee,5782,0,0,0,13.8,6.9,65.7,19,0
Savoy,722,0,0,0,13.9,27.7,13.9,0,0
Avon,4285,0,0,4.7,9.3,53.7,375.7,25.7,
West Newbury,4283,0,0,0,14,7,51.4,0,0
Newton,83191,0,1,2.3,10.8,22.4,107.7,3.5,0.5
Royalston,1396,0,0,0,14.3,43,43,0,0
Waltham,60459,0,1.5,2.5,10.8,17.9,115.1,7.3,0.2
Egremont,1351,0,0,0,14.8,37,125.8,0,0
Douglas,8033,0,3.7,0,11.2,14.9,18.7,8.7,0
East Longmeadow,15363,0,0.7,1.3,13,41.7,188.8,9.8,1.3
Raynham,13893,0,6.5,4.3,4.3,60.5,242.6,24.5,0.7
Agawam,28353,0,2.1,2.5,10.6,28.2,72.7,13.8,1.8
Wenham,4608,0,2.2,4.3,8.7,6.5,54.3,4.3,0
Dedham,24217,0,1.2,8.3,5.8,30.6,203.2,11.1,0.4
Uxbridge,12820,0,1.6,0,14,45.2,59.3,6.2,2.3
Plymouth,55608,0,0.7,2.5,12.4,35.1,138.3,5.6,0.7
Brewster,10009,0,0,0,16,35,86.9,7,2
Watertown,32462,0,0.9,1.8,13.2,31.1,133.4,8.9,0.3
Medford,55555,0,0.4,7.9,7.7,36.9,209.9,17.1,
Oak Bluffs,3731,0,0,0,16.1,32.2,260,2.7,0
Williamstown,8071,0,3.7,0,12.4,26,149.9,5,2.5
Belmont,23252,0,2.2,3.4,10.8,41.3,65.4,6.5,0.4
East Bridgewater,13988,0,2.9,1.4,12.2,30,105.8,11.4,0.7
Ashfield,1817,0,0,0,16.5,27.5,60.5,0,
Hampden,5321,0,5.6,1.9,9.4,24.4,58.3,1.9,0
Littleton,8776,0,4.6,0,12.5,27.3,74.1,4.6,1.1
Carver,11592,0,0.9,2.6,13.8,25.9,53.5,6.9,2.6
Millville,2857,0,0,0,17.5,28,91,3.5,0
Marblehead,19994,0,1,1,15.5,15.5,78.5,4,1
Lenox,5106,0,3.9,0,13.7,41.1,133.2,3.9,2
Hubbardston,4531,0,0,0,17.7,15.4,48.6,15.4,2.2
Great Barrington,7353,0,2.7,2.7,12.2,50.3,115.6,5.4,1.4
Templeton,7911,1.3,3.8,1.3,11.4,55.6,61.9,8.8,1.3
West Boylston,8302,0,6,3.6,8.4,38.5,166.2,8.4,0
Tisbury,3809,2.6,0,2.6,13.1,57.8,220.5,39.4,0
Natick,31943,0,0.9,1.3,16.6,20.3,227.6,7.8,0
Freetown,8990,0,0,1.1,17.8,64.5,100.1,16.7,3.3
Dighton,6819,0,0,0,19.1,14.7,22,2.9,
Marshfield,24600,0,2.4,4.5,12.2,26,87.4,11,0
Marion,5226,0,0,1.9,17.2,67,141.6,13.4,0
Danvers,26958,0,0.7,3.3,15.2,24.1,313.5,13,0.4
South Hadley,16921,0,1.8,4.1,13.6,39,109.3,3.5,1.2
Tewksbury,29692,0,5.1,1.7,13.1,36.7,119.9,12.1,0
Rutland,8049,0,0,2.5,17.4,22.4,31.1,5,0
Weymouth,53180,0,1.5,3.8,14.7,32.5,118.5,10.5,
Bridgewater,25546,0,1.6,2,16.4,23.1,65,4.3,0.8
Woburn,37005,0,0.8,2.7,16.5,25.9,194.3,19.7,0.5
Edgartown,3935,0,0,0,20.3,63.5,175.3,22.9,0
Dudley,11181,0,2.7,1.8,16.1,28.6,15.2,2.7,0.9
Salem,41531,0,2.4,3.6,14.7,42.1,140.6,20.9,
Rochester,5301,0,1.9,0,18.9,49,90.5,5.7,1.9
West Brookfield,3827,0,0,2.6,18.3,39.2,96.7,7.8,0
Wilmington,21712,0.5,0,0.5,20.3,43.3,133.1,5.5,1.8
Boxborough,5124,0,3.9,3.9,13.7,27.3,66.4,7.8,2
Dartmouth,34446,0,1.5,3.2,16.8,45.6,252.3,12.5,2
Sturbridge,9266,0,6.5,0,15.1,35.6,131.7,8.6,1.1
Leicester,11042,0,1.8,1.8,18.1,30.8,110.5,12.7,2.7
Pembroke,18806,0,3.2,1.6,17,30.3,91.5,12.2,0
Blackstone,9058,0,1.1,1.1,19.9,40.8,102.7,16.6,1.1
Northbridge,14526,0,1.4,0,21.3,47.5,110.8,4.8,2.1
Acushnet,10474,0,1.9,1,20,66.8,86.9,11.5,2.9
Pepperell,11438,0,0.9,1.7,21,28,116.3,6.1,0
Amherst,36106,0,3.6,2.5,17.7,58.4,65.1,6.6,0.6
Lunenburg,10012,0,1,2,21,37,123.9,13,0
Canton,22054,0,1.4,1.4,21.8,29.9,98.8,7.7,1.4
Nahant,3505,0,2.9,0,22.8,14.3,62.8,8.6,0
Millbury,13551,0,0,0.7,25.1,54.6,143.2,10.3,1.5
Harwich,12381,0,1.6,1.6,22.6,92.1,123.6,4.8,2.4
Halifax,7722,0,3.9,0,22,20.7,62.2,7.8,0
Westfield,40857,0,5.1,2.2,18.6,61.4,90.8,6.4,1.2
Seekonk,13610,0,1.5,3.7,21.3,46.3,313,16.9,1.5
Easthampton,16072,0,0.6,1.2,24.9,39.2,67.8,4.4,3.7
Somerset,18265,0,1.6,4.4,20.8,20.8,142.3,4.9,0
Peabody,51846,0.2,1.7,4.2,21.6,33,197.5,23.7,1.2
Amesbury,16421,0,3.7,1.8,22.5,24.4,146.8,6.1,1.8
Palmer,12891,0,0.8,0.8,27.2,52,81.5,7.8,2.3
East Brookfield,2065,0,0,4.8,24.2,33.9,188.9,14.5,4.8
Methuen,43987,0.2,0.9,3.2,25,50.2,158.2,26.8,0.2
Swansea,16274,0,1.8,1.8,26.4,29.5,141.9,16.6,1.8
Framingham,64519,0.2,1.7,6.2,22.3,41.5,180.7,25.7,
Orange,7831,0,2.6,2.6,25.5,118.8,121.3,7.7,0
Hinsdale,1945,0,0,0,30.8,20.6,5.1,0,
Beverly,39435,0,2.5,5.1,23.3,27.1,139,10.1,0
Fairhaven,16115,0.6,0,6.2,24.8,90.6,241.4,14.3,1.2
Monson,8841,0,4.5,0,27.1,43,101.8,5.7,0
Mashpee,14417,0,1.4,4.2,26.4,80.5,156.8,8.3,2.8
Dalton,6546,0,6.1,1.5,24.4,36.7,90.1,1.5,9.2
Oxford,13671,0,0.7,2.9,28.5,34.4,74.6,14.6,2.2
Ayer,7378,0,4.1,6.8,21.7,67.8,119.3,13.6,4.1
Stoughton,26924,0,3,8.2,21.5,73.2,102.5,10,0
Bourne,19048,0,2.6,5.2,25.2,135.4,164.3,4.7,1.6
Attleboro,43228,0,1.9,7.2,24.1,51.6,153.1,16.4,2.1
Hadley,4786,0,2.1,8.4,23,62.7,311.3,14.6,2.1
Abington,16590,0.6,6,3,24.1,71.7,128.4,16.9,0
Northampton,28341,0,3.2,4.2,26.8,50.5,220.2,16.2,1.1
Winthrop,20404,0,1.5,3.9,28.9,49,78.4,9.3,1
Kingston,12405,0,2.4,3.2,29,31.4,267.6,12.9,3.2
Buckland,1990,0,5,0,30.2,20.1,65.3,0,0
Westport,15253,0,1.3,0,34.7,48.5,53.1,18.4,0.7
Wellfleet,2746,0,0,0,36.4,87.4,145.7,7.3,3.6
Quincy,95061,0.2,1.6,11,23.7,62.9,119.8,14.2,0.8
Barre,5455,0,3.7,3.7,29.3,38.5,86.2,7.3,
Northfield,2990,0,3.3,0,33.4,80.3,143.8,10,
Saugus,27327,0,1.8,8.4,26.7,75.4,304.1,28.5,0.4
Falmouth,33302,0.3,4.5,2.7,30,165.8,156.1,11.4,4.8
Hardwick,2653,0,0,0,37.7,15.1,71.6,7.5,3.8
Sunderland,3714,0,0,2.7,35,56.5,51.2,8.1,0
Hull,11064,0,0,2.7,35.2,46.1,79.5,9.9,0.9
Marlborough,38253,0,2.9,3.9,31.6,28.2,149.5,13.6,0.8
Erving,1546,0,6.5,0,32.3,90.6,142.3,12.9,0
Athol,11637,0,6,2.6,31.8,93.7,147.8,8.6,1.7
Cambridge,101362,0.2,1.4,15.3,24,39.1,246.6,23.9,1
Somerville,74012,0.3,2.7,15.1,23,60.8,218.1,33.6,0.9
Revere,56445,0.4,2.7,9,29.9,51.6,188.3,42.5,0.4
