City,Population,"Murders per 10,000 people","Rapes per 10,000","Robberies per 10,000","Assaults per 10,000","Burglaries per 10,000","Larceny-thefts per 10,000","Motor vehicle thefts per 10,000","Arsons per 10,000"
Harvard,"6,001",0.00,0.00,0.00,3.30,31.70,48.30,1.70,1.70
Lakeville,"10,678",0.00,0.00,0.00,3.70,89.00,73.00,10.30,0.90
Grafton,"17,872",0.00,0.00,0.00,3.90,32.50,34.10,9.50,0.60
Longmeadow,"15,275",0.00,0.00,0.00,3.90,39.30,148.00,7.20,0.70
Carlisle,"4,900",0.00,2.00,0.00,2.00,20.40,10.20,0.00,0.00
Groveland,"7,041",0.00,0.00,0.00,4.30,11.40,55.40,1.40,0.00
Newbury,"6,950",0.00,2.90,0.00,1.40,21.60,43.20,5.80,1.40
Bolton,"4,522",0.00,0.00,0.00,4.40,64.10,68.60,2.20,4.40
Boylston,"4,298",0.00,0.00,0.00,4.70,23.30,48.90,2.30,0.00
North Andover,"27,775",0.70,0.00,1.10,2.90,9.40,67.00,3.60,0.40
Wellesley,"26,975",0.00,0.70,1.50,3.00,18.90,57.50,3.30,0.00
Townsend,"9,394",0.00,1.10,0.00,4.30,102.20,51.10,5.30,0.00
Wales,"1,857",0.00,0.00,0.00,5.40,0.00,16.20,0.00,0.00
Northborough,"14,683",0.00,0.00,0.70,4.80,10.90,54.50,3.40,0.70
Reading,"23,055",0.00,0.00,1.30,4.30,19.10,92.80,3.00,0.00
Medfield,"12,261",0.80,0.00,0.00,4.90,9.80,44.90,0.80,1.60
Holden,"16,695",0.00,0.00,0.60,5.40,11.40,40.70,2.40,0.60
Milton,"26,298",0.80,0.00,2.30,3.00,25.50,78.70,2.30,
Hatfield,"3,259",0.00,0.00,0.00,6.10,3.10,9.20,0.00,
Norton,"19,366",0.00,2.60,0.00,3.60,18.10,35.10,0.50,0.00
Westhampton,"1,601",0.00,0.00,0.00,6.20,6.20,18.70,6.20,0.00
Stow,"6,378",0.00,0.00,0.00,6.30,23.50,43.90,4.70,1.60
Holliston,"13,953",0.00,0.00,0.70,5.70,10.00,37.30,2.20,0.00
Easton,"23,047",0.00,0.00,1.70,4.80,19.10,69.00,3.50,0.00
Paxton,"4,546",0.00,0.00,2.20,4.40,22.00,37.40,0.00,0.00
Ludlow,"22,530",0.00,0.90,2.20,3.60,37.30,91.40,7.10,1.30
Westborough,"18,509",0.00,1.10,2.20,3.80,43.20,97.20,9.70,1.10
Dover,"5,634",0.00,0.00,0.00,7.10,7.10,28.40,1.80,0.00
Gill,"1,381",0.00,0.00,0.00,7.20,36.20,79.70,0.00,0.00
Concord,"17,543",0.00,0.00,1.10,6.30,50.20,103.70,1.70,1.10
Chatham,"6,735",0.00,0.00,0.00,7.40,65.30,216.80,1.50,0.00
Upton,"6,629",1.50,0.00,0.00,6.00,18.10,45.30,16.60,0.00
Lexington,"30,321",0.00,0.00,0.70,6.90,18.10,86.40,2.60,0.00
Mattapoisett,"6,468",0.00,0.00,0.00,7.70,9.30,140.70,4.60,0.00
North Reading,"14,040",0.00,0.70,0.00,7.10,20.70,64.80,1.40,1.40
Rowley,"5,881",0.00,1.70,1.70,5.10,13.60,23.80,11.90,3.40
Wilbraham,"14,098",0.00,0.70,2.80,5.00,26.20,98.60,7.80,0.00
Westwood,"13,995",0.00,1.40,1.40,5.70,22.90,81.50,7.10,3.60
Gloucester,"30,303",0.00,3.30,0.30,5.00,34.00,166.30,5.60,0.30
Rehoboth,"11,649",0.00,0.90,0.00,7.70,35.20,90.10,14.60,0.90
Stockbridge,"2,227",0.00,9.00,0.00,0.00,220.00,309.80,13.50,0.00
Shirley,"7,738",0.00,1.30,0.00,7.80,18.10,54.30,2.60,0.00
Burlington,"25,319",0.00,0.40,2.00,6.70,75.40,185.60,10.70,0.40
Truro,"2,139",0.00,4.70,0.00,4.70,28.10,74.80,4.70,0.00
Westminster,"7,446",0.00,1.30,0.00,8.10,24.20,155.80,13.40,0.00
Norwell,"10,329",0.00,1.90,1.00,6.80,17.40,82.30,3.90,0.00
Cohasset,"7,171",0.00,1.40,1.40,7.00,86.50,89.20,2.80,0.00
Ashburnham,"6,009",0.00,0.00,1.70,8.30,30.00,41.60,3.30,6.70
Swampscott,"13,940",0.00,1.40,1.40,7.20,27.30,144.90,3.60,0.00
Acton,"20,795",0.00,2.40,1.00,6.70,22.10,107.20,1.90,0.00
Chilmark,978,0.00,0.00,0.00,10.20,51.10,112.50,0.00,0.00
Norfolk,"10,666",0.90,0.90,0.00,8.40,42.20,38.40,0.90,0.00
Goshen,960,0.00,0.00,0.00,10.40,20.80,0.00,0.00,0.00
West Bridgewater,"6,682",0.00,0.00,1.50,9.00,35.90,151.20,12.00,3.00
Lynnfield,"11,360",0.00,1.80,2.60,6.20,25.50,100.40,7.90,0.90
Scituate,"17,879",0.00,1.10,0.60,8.90,25.70,78.30,5.60,1.10
Rockland,"17,789",0.00,1.70,1.70,7.30,24.70,135.50,9.60,
North Attleboro,"27,994",0.00,0.70,2.50,7.50,33.60,185.40,7.90,0.70
Plainville,"8,388",0.00,0.00,1.20,9.50,28.60,103.70,8.30,2.40
Berkley,"6,519",0.00,0.00,1.50,9.20,59.80,50.60,4.60,0.00
